vendor_id,month,received_qty_101,received_qty_102,received_qty_net,gr_line_count,gr_101_line_count,gr_102_line_count,unique_material_count,unique_purchase_order_count,ncr_event_count,ncr_qty_total,ncr_material_value_total,supplier_responsible_ncr_count,open_ncr_count,closed_ncr_count,has_gr_exposure,has_ncr_event_same_month,internal_supplier_candidate
1000200000,2019-04,0.0,0.0,0.0,0,0,0,0,0,35,49.0,18700.43,6,0,35,False,True,True
1000200000,2019-05,0.0,0.0,0.0,0,0,0,0,0,57,1903.0,67562.7,13,0,57,False,True,True
1000200000,2019-06,0.0,0.0,0.0,0,0,0,0,0,42,181.0,33742.98,15,0,42,False,True,True
1000200000,2019-07,0.0,0.0,0.0,0,0,0,0,0,48,496.0,41961744.51,30,0,48,False,True,True
1000200000,2019-08,0.0,0.0,0.0,0,0,0,0,0,30,49.0,12415826.37,7,0,30,False,True,True
1000200000,2019-09,0.0,0.0,0.0,0,0,0,0,0,29,115.0,1446368.59,9,0,29,False,True,True
1000200000,2019-10,0.0,0.0,0.0,0,0,0,0,0,65,204.0,2520387.6,35,0,65,False,True,True
1000200000,2019-11,0.0,0.0,0.0,0,0,0,0,0,43,57.0,3197282.02,23,0,43,False,True,True
1000200000,2019-12,0.0,0.0,0.0,0,0,0,0,0,47,56.0,7145827.13,28,0,47,False,True,True
1000200000,2020-01,0.0,0.0,0.0,0,0,0,0,0,48,78.0,9027065.129999999,18,0,48,False,True,True
1000200000,2020-02,0.0,0.0,0.0,0,0,0,0,0,53,127.0,6696224.1899999995,30,0,53,False,True,True
1000200000,2020-03,0.0,0.0,0.0,0,0,0,0,0,47,124.0,16862574.97,32,0,47,False,True,True
1000200000,2020-04,0.0,0.0,0.0,0,0,0,0,0,12,14.0,45.55,7,0,12,False,True,True
1000200000,2020-05,0.0,0.0,0.0,0,0,0,0,0,13,14.0,1842.34,7,0,13,False,True,True
1000200000,2020-06,0.0,0.0,0.0,0,0,0,0,0,66,110.0,8950980.72,28,0,66,False,True,True
1000200000,2020-07,0.0,0.0,0.0,0,0,0,0,0,39,44.0,2910154.47,14,0,39,False,True,True
1000200000,2020-08,0.0,0.0,0.0,0,0,0,0,0,62,146.0,7237553.46,31,0,62,False,True,True
1000200000,2020-09,0.0,0.0,0.0,0,0,0,0,0,60,74.0,7175210.86,32,0,60,False,True,True
1000200000,2020-10,0.0,0.0,0.0,0,0,0,0,0,123,473.0,14300511.44,47,0,123,False,True,True
1000200000,2020-11,0.0,0.0,0.0,0,0,0,0,0,68,172.0,12526631.89,46,0,68,False,True,True
1000200000,2020-12,0.0,0.0,0.0,0,0,0,0,0,77,193.0,9650931.84,44,0,76,False,True,True
1000200000,2021-01,0.0,0.0,0.0,0,0,0,0,0,61,169.0,5316189.52,29,0,61,False,True,True
1000200000,2021-02,0.0,0.0,0.0,0,0,0,0,0,85,844.0,8345677.42,45,0,85,False,True,True
1000200000,2021-03,0.0,0.0,0.0,0,0,0,0,0,87,300.0,15362254.18,30,0,87,False,True,True
1000200000,2021-04,0.0,0.0,0.0,0,0,0,0,0,81,164.0,8079999.6899999995,26,0,81,False,True,True
1000200000,2021-05,0.0,0.0,0.0,0,0,0,0,0,67,81.0,6635789.69,16,0,67,False,True,True
